subject,behavior,count,total_duration_s,video_id
2nd Shrimp,APART,0,0,g106
2nd Shrimp,EAT,0,NA,g106
2nd Shrimp,DEFENCE,0,NA,g106
2nd Shrimp,DASH,0,NA,g106
2nd Shrimp,OUT OF FRME,0,0,g106
2nd Shrimp,BLACK EYES,0,0,g106
2nd Shrimp,CHASE HETERO,0,NA,g106
2nd Shrimp,CHASE CON,0,NA,g106
2nd Shrimp,CHASE UNKNOWN,0,NA,g106
3rd Shrimp,INSIDE,0,0,g106
3rd Shrimp,EDGE,0,0,g106
3rd Shrimp,NEAR,0,0,g106
3rd Shrimp,AWAY,0,0,g106
3rd Shrimp,CONTACT,0,0,g106
3rd Shrimp,APART,0,0,g106
3rd Shrimp,EAT,0,NA,g106
3rd Shrimp,DEFENCE,0,NA,g106
3rd Shrimp,DASH,0,NA,g106
3rd Shrimp,OUT OF FRME,0,0,g106
3rd Shrimp,BLACK EYES,0,0,g106
3rd Shrimp,CHASE HETERO,0,NA,g106
3rd Shrimp,CHASE CON,0,NA,g106
3rd Shrimp,CHASE UNKNOWN,0,NA,g106
1st Goby,INSIDE,0,0,g106
1st Goby,EDGE,1,5.861,g106
1st Goby,NEAR,1,1.537,g106
1st Goby,AWAY,1,292.6,g106
1st Goby,CONTACT,2,173.805,g106
1st Goby,APART,1,126.193,g106
1st Goby,EAT,1,NA,g106
1st Goby,DEFENCE,0,NA,g106
1st Goby,DASH,0,NA,g106
1st Goby,OUT OF FRME,1,118.506,g106
1st Goby,BLACK EYES,0,0,g106
1st Goby,CHASE HETERO,0,NA,g106
1st Goby,CHASE CON,0,NA,g106
1st Goby,CHASE UNKNOWN,0,NA,g106
2nd Goby,INSIDE,0,0,g106
2nd Goby,EDGE,0,0,g106
2nd Goby,NEAR,0,0,g106
2nd Goby,AWAY,0,0,g106
2nd Goby,CONTACT,0,0,g106
2nd Goby,APART,0,0,g106
2nd Goby,EAT,0,NA,g106
2nd Goby,DEFENCE,0,NA,g106
2nd Goby,DASH,0,NA,g106
2nd Goby,OUT OF FRME,0,0,g106
2nd Goby,BLACK EYES,0,0,g106
2nd Goby,CHASE HETERO,0,NA,g106
2nd Goby,CHASE CON,0,NA,g106
2nd Goby,CHASE UNKNOWN,0,NA,g106
1st Shrimp,INSIDE,0,0,g107
1st Shrimp,EDGE,0,0,g107
1st Shrimp,NEAR,0,0,g107
1st Shrimp,AWAY,0,0,g107
1st Shrimp,CONTACT,0,0,g107
