video_id,subject,behavior,modifiers,count,total_duration_s,duration_mean_s,duration_std_dev,inter_event_intervals_mean_s,inter_event_intervals_std_dev,percent_of_total_length
g102,1st Goby,EDGE,,2,48.112,24.056,14.06,165.061,NA,16
g102,1st Goby,AWAY,,3,97.703,32.568,26.987,12.052,12.579,32.6
g102,1st Goby,APART,,3,104.532,34.844,29.061,8.637,7.748,34.8
g102,1st Goby,NEAR,,5,154.176,30.835,44.848,25.308,21.936,51.4
g102,1st Goby,CONTACT,,3,195.463,65.154,98.047,27.699,37.183,65.2
g102,1st Shrimp,INSIDE,,0,0,0,NA,-,-,0
g102,1st Shrimp,EDGE,,0,0,0,NA,-,-,0
g102,1st Shrimp,NEAR,,0,0,0,NA,-,-,0
g102,1st Shrimp,AWAY,,0,0,0,NA,-,-,0
g102,1st Shrimp,CONTACT,,0,0,0,NA,-,-,0
g102,1st Shrimp,APART,,0,0,0,NA,-,-,0
g102,1st Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
g102,1st Shrimp,BLACK EYES,,0,0,0,NA,-,-,0
g102,2nd Goby,INSIDE,,0,0,0,NA,-,-,0
g102,2nd Goby,EDGE,,0,0,0,NA,-,-,0
g102,2nd Goby,BLACK EYES,,0,0,0,NA,-,-,0
g102,2nd Goby,NEAR,,3,60.769,20.256,22.478,111.472,77.749,20.3
g102,2nd Goby,OUT OF FRME,,2,132.849,66.424,90.73,64.967,NA,44.3
g102,2nd Goby,APART,,4,141.392,35.348,66.089,52.869,15.737,47.1
g102,2nd Goby,CONTACT,,3,158.602,52.867,15.737,69.854,91.325,52.9
g102,2nd Goby,AWAY,,3,239.226,79.742,77.733,28.18,25.179,79.7
g102,2nd Shrimp,INSIDE,,0,0,0,NA,-,-,0
g102,2nd Shrimp,EDGE,,0,0,0,NA,-,-,0
g102,2nd Shrimp,NEAR,,0,0,0,NA,-,-,0
g102,2nd Shrimp,AWAY,,0,0,0,NA,-,-,0
g102,2nd Shrimp,CONTACT,,0,0,0,NA,-,-,0
g102,2nd Shrimp,APART,,0,0,0,NA,-,-,0
g102,2nd Shrimp,OUT OF FRME,,0,0,0,NA,-,-,0
